PortfolioId,PortfolioName,PortfolioCurrency,PortfolioType,PortfolioCompany,LegalParentId,ManagementParentId,VotingParentId,RuleFolders,CompanyType,FundDomicile,IsAIF,BaseDate,InvestmentManager13F
100,Top Level Company,USD,Entity,Demo AM,100,100,100,,"US-QII,UKIM",US,,"13,27",Top Level Company
103,Management Entity,USD,Entity,Demo AM,100,100,100,,"US-QII,UKIM",US,,"13,27",Top Level Company
105,US Entity,USD,Entity,Demo AM,103,103,103,,"US-QII,UKIM",US,,"13,27",Top Level Company
11,Global Macro Fund,USD,Portfolio,Demo AM,100,100,100,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
12,Tax Haven Fund,USD,Portfolio,Demo AM,100,100,100,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
13,Special Interest Fund,USD,Portfolio,Demo AM,100,100,100,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
14,US Fund,USD,Portfolio,Demo AM,105,105,105,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
15,Managed Fund,USD,Portfolio,Demo AM,103,103,103,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
16,Managed (Voting) Fund,USD,Portfolio,Demo AM,103,103,103,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
17,US Fund II,USD,Portfolio,Demo AM,105,105,105,"Disclosure, Validation, Validation Disclosure, Short Selling","US-QII,UKIM,NotZA",US,FALSE,"13,27",Top Level Company
